order_id,order_placed_at,restaurant_id,courier_id,delivery_neighborhood,basket_value_euros,delivery_fee_euros,commission_euros,prep_time_minutes,courier_wait_minutes,travel_time_minutes,is_raining,order_status
GLV_000001,2026-06-03 10:13:00,REST_018,COUR_004,Gòtic,24.5,3.52,5.39,15,1,11,0,Delivered
GLV_000002,2026-06-02 12:18:00,REST_016,COUR_032,Poblenou,44.56,2.37,9.8,15,9,8,0,Delivered
GLV_000003,2026-06-05 16:21:00,REST_028,COUR_130,Gòtic,62.96,1.95,13.85,21,0,8,0,Delivered
GLV_000004,2026-06-03 20:16:00,REST_009,COUR_016,Eixample,62.8,3.78,13.82,25,7,21,1,Delivered
GLV_000005,2026-06-03 20:27:00,REST_047,COUR_021,Sants,49.12,3.54,10.81,31,11,27,1,Delivered
GLV_000006,2026-06-07 09:54:00,REST_011,COUR_133,Gràcia,15.23,3.12,3.35,13,7,16,0,Delivered
GLV_000007,2026-06-02 17:07:00,REST_024,COUR_051,Sants,48.7,3.53,10.71,18,5,16,1,Delivered
GLV_000008,2026-06-07 19:35:00,REST_030,COUR_128,Gòtic,44.9,2.83,9.88,26,5,16,0,Delivered
GLV_000009,2026-06-03 14:51:00,REST_011,COUR_056,Sants,37.49,2.63,8.25,14,10,9,0,Delivered
GLV_000010,2026-06-07 13:19:00,REST_036,COUR_063,Sants,34.16,3.59,7.52,28,7,13,0,Delivered
GLV_000011,2026-06-04 07:39:00,REST_010,COUR_088,Gòtic,53.78,2.1,11.83,24,4,10,0,Delivered
GLV_000012,2026-06-02 18:27:00,REST_039,COUR_148,Sarrià,45.84,2.85,10.08,23,2,19,0,Delivered
GLV_000013,2026-06-06 19:29:00,REST_006,COUR_050,Sarrià,36.06,1.75,7.93,20,7,10,0,Delivered
GLV_000014,2026-06-06 15:20:00,REST_037,COUR_048,Gràcia,0.0,0.0,0.0,22,0,0,0,Cancelled
GLV_000015,2026-06-06 20:32:00,REST_045,COUR_088,Sarrià,51.28,2.45,11.28,18,7,11,0,Delivered
GLV_000016,2026-06-05 14:08:00,REST_007,COUR_034,Gòtic,24.51,3.4,5.39,30,13,19,0,Delivered
